,Age,StrService,HoursPerDay,WhileWorking,Instrumentalist,Composer,FavGenre,Exploratory,ForeignLanguages,FrequencyClassical,FrequencyCountry,FrequencyEDM,FrequencyFolk,FrequencyGospel,FrequencyHipHop,FrequencyJazz,FrequencyKpop,FrequencyLatin,FrequencyLofi,FrequencyMetal,FrequencyPop,FrequencyR&B,FrequencyRap,FrequencyRock,FrequencyVideoGameMusic,Anxiety,Depression,Insomnia,OCD,MusicEffects,BPM
146,22,Spotify,3.0,Да,Нет,Нет,Hip hop,Да,Да,Редко,Никогда,Иногда,Редко,Никогда,Очень часто,Редко,Никогда,Иногда,Редко,Иногда,Очень часто,Иногда,Очень часто,Иногда,Редко,6,6,8,0,Улучшение,77.0
147,17,Spotify,7.0,Да,Нет,Нет,Hip hop,Нет,Да,Никогда,Никогда,Редко,Никогда,Редко,Очень часто,Никогда,Никогда,Никогда,Редко,Редко,Редко,Редко,Очень часто,Редко,Редко,8,9,3,4,Улучшение,84.0
148,21,Spotify,3.0,Да,Нет,Нет,Hip hop,Да,Да,Никогда,Никогда,Редко,Никогда,Никогда,Очень часто,Редко,Никогда,Никогда,Иногда,Никогда,Очень часто,Очень часто,Очень часто,Очень часто,Никогда,8,8,3,3,Улучшение,85.0
149,18,Spotify,1.5,Нет,Нет,Нет,Hip hop,Нет,Нет,Никогда,Никогда,Никогда,Никогда,Никогда,Иногда,Иногда,Никогда,Никогда,Иногда,Никогда,Очень часто,Никогда,Иногда,Иногда,Никогда,3,7,4,0,Улучшение,150.0
150,20,Spotify,4.0,Да,Нет,Нет,Hip hop,Да,Нет,Никогда,Редко,Очень часто,Редко,Никогда,Очень часто,Никогда,Никогда,Никогда,Никогда,Никогда,Иногда,Иногда,Очень часто,Иногда,Никогда,3,2,1,6,Улучшение,85.0
151,39,Spotify,1.0,Да,Нет,Нет,Hip hop,Да,Да,Никогда,Редко,Редко,Иногда,Никогда,Очень часто,Редко,Редко,Редко,Иногда,Иногда,Очень часто,Иногда,Очень часто,Очень часто,Никогда,6,4,1,1,Улучшение,89.0
152,23,Spotify,0.5,Нет,Нет,Да,Hip hop,Да,Да,Иногда,Иногда,Редко,Редко,Редко,Очень часто,Редко,Очень часто,Редко,Иногда,Редко,Иногда,Иногда,Очень часто,Редко,Иногда,7,7,6,5,Улучшение,110.0
153,23,YouTube Music,4.0,Нет,Нет,Нет,Hip hop,Да,Нет,Редко,Редко,Никогда,Редко,Никогда,Очень часто,Редко,Никогда,Никогда,Иногда,Редко,Очень часто,Иногда,Иногда,Иногда,Редко,8,10,4,0,Нет эффекта,72.0
154,27,Spotify,1.0,Нет,Нет,Нет,Hip hop,Да,Нет,Иногда,Никогда,Редко,Никогда,Никогда,Очень часто,Редко,Никогда,Никогда,Редко,Никогда,Иногда,Очень часто,Очень часто,Никогда,Никогда,3,4,1,0,Улучшение,110.0
155,58,Другое,3.0,Да,Нет,Нет,Hip hop,Да,Да,Иногда,Никогда,Иногда,Редко,Иногда,Очень часто,Очень часто,Никогда,Иногда,Очень часто,Никогда,Редко,Очень часто,Иногда,Иногда,Никогда,4,6,8,1,Улучшение,127.0
156,19,Spotify,5.0,Да,Нет,Нет,Hip hop,Нет,Да,Редко,Очень часто,Иногда,Редко,Редко,Очень часто,Никогда,Редко,Очень часто,Никогда,Редко,Иногда,Иногда,Очень часто,Редко,Иногда,10,7,0,0,Улучшение,99.0
157,36,Pandora,1.0,Да,Нет,Нет,Hip hop,Нет,Нет,Иногда,Никогда,Никогда,Никогда,Никогда,Очень часто,Никогда,Никогда,Никогда,Никогда,Никогда,Очень часто,Иногда,Иногда,Иногда,Никогда,7,6,2,3,Улучшение,131.0
158,20,Spotify,3.0,Нет,Да,Да,Hip hop,Да,Да,Очень часто,Редко,Редко,Иногда,Никогда,Очень часто,Иногда,Никогда,Иногда,Редко,Редко,Иногда,Иногда,Очень часто,Очень часто,Редко,10,7,4,3,Улучшение,80.0
159,18,Spotify,2.0,Да,Да,Нет,Hip hop,Да,Нет,Никогда,Никогда,Никогда,Никогда,Иногда,Очень часто,Никогда,Никогда,Никогда,Иногда,Никогда,Иногда,Очень часто,Очень часто,Никогда,Никогда,5,4,3,7,Улучшение,90.0
160,28,Spotify,4.0,Да,Нет,Нет,Hip hop,Да,Да,Редко,Иногда,Иногда,Редко,Никогда,Очень часто,Никогда,Никогда,Очень часто,Иногда,Редко,Очень часто,Редко,Очень часто,Иногда,Редко,8,5,3,8,Улучшение,178.0
161,18,Spotify,7.0,Да,Нет,Нет,Hip hop,Да,Да,Очень часто,Редко,Никогда,Никогда,Редко,Очень часто,Очень часто,Редко,Никогда,Иногда,Никогда,Иногда,Иногда,Иногда,Редко,Редко,3,1,0,3,Улучшение,110.0
162,19,Spotify,3.0,Да,Нет,Нет,Hip hop,Да,Нет,Иногда,Никогда,Редко,Никогда,Никогда,Очень часто,Редко,Редко,Никогда,Иногда,Никогда,Очень часто,Очень часто,Очень часто,Никогда,Редко,3,8,0,2,Улучшение,115.0
163,17,Spotify,4.0,Да,Нет,Нет,Hip hop,Да,Нет,Иногда,Никогда,Никогда,Никогда,Никогда,Очень часто,Никогда,Никогда,Никогда,Очень часто,Никогда,Иногда,Никогда,Очень часто,Никогда,Никогда,7,0,2,2,Улучшение,144.0
164,35,Spotify,4.0,Да,Да,Да,Hip hop,Да,Нет,Иногда,Редко,Редко,Иногда,Никогда,Очень часто,Очень часто,Никогда,Иногда,Очень часто,Редко,Очень часто,Очень часто,Очень часто,Иногда,Очень часто,7,8,6,5,Улучшение,90.0
165,17,Spotify,5.0,Да,Нет,Нет,Hip hop,Да,Нет,Редко,Иногда,Очень часто,Никогда,Иногда,Очень часто,Никогда,Иногда,Никогда,Иногда,Редко,Очень часто,Очень часто,Очень часто,Редко,Редко,7,7,5,5,Улучшение,168.0
166,29,YouTube Music,2.0,Да,Нет,Нет,Hip hop,Да,Да,Иногда,Редко,Очень часто,Иногда,Редко,Очень часто,Очень часто,Иногда,Никогда,Редко,Никогда,Иногда,Очень часто,Очень часто,Очень часто,Редко,2,2,2,5,Улучшение,98.0
167,61,YouTube Music,2.5,Да,Нет,Да,Jazz,Да,Да,Иногда,Никогда,Никогда,Редко,Иногда,Никогда,Очень часто,Иногда,Очень часто,Иногда,Никогда,Иногда,Иногда,Никогда,Никогда,Никогда,9,7,3,3,Улучшение,84.0
168,18,Spotify,5.0,Да,Да,Да,Jazz,Да,Да,Редко,Иногда,Никогда,Никогда,Никогда,Иногда,Очень часто,Очень часто,Редко,Очень часто,Редко,Очень часто,Очень часто,Очень часто,Очень часто,Никогда,8,8,7,7,Улучшение,86.0
169,18,Spotify,4.0,Да,Да,Нет,Jazz,Да,Да,Очень часто,Редко,Никогда,Никогда,Никогда,Никогда,Очень часто,Никогда,Иногда,Редко,Иногда,Иногда,Никогда,Никогда,Иногда,Редко,6,4,7,0,Улучшение,148.0
170,16,Spotify,5.0,Да,Да,Да,Jazz,Да,Да,Иногда,Редко,Никогда,Никогда,Редко,Редко,Очень часто,Очень часто,Редко,Никогда,Никогда,Очень часто,Редко,Очень часто,Иногда,Никогда,7,7,8,4,Улучшение,167.0
171,19,Spotify,3.0,Да,Нет,Нет,Jazz,Да,Нет,Редко,Никогда,Редко,Никогда,Никогда,Очень часто,Очень часто,Редко,Иногда,Очень часто,Никогда,Иногда,Иногда,Иногда,Редко,Очень часто,3,0,0,0,Улучшение,118.0
172,14,Spotify,7.0,Да,Да,Нет,Jazz,Нет,Нет,Редко,Никогда,Очень часто,Никогда,Никогда,Никогда,Очень часто,Никогда,Иногда,Никогда,Никогда,Иногда,Никогда,Никогда,Очень часто,Очень часто,2,0,0,0,Улучшение,110.0
173,29,Другое,5.0,Да,Нет,Нет,Jazz,Да,Да,Редко,Никогда,Никогда,Редко,Никогда,Никогда,Очень часто,Никогда,Редко,Редко,Редко,Никогда,Иногда,Никогда,Очень часто,Иногда,7,2,3,1,Улучшение,200.0
174,22,Другое,6.0,Да,Да,Да,Jazz,Да,Да,Иногда,Редко,Очень часто,Очень часто,Редко,Очень часто,Очень часто,Редко,Иногда,Иногда,Иногда,Очень часто,Очень часто,Очень часто,Иногда,Иногда,8,8,8,5,Улучшение,140.0
175,17,Spotify,2.0,Да,Да,Да,Jazz,Да,Нет,Иногда,Никогда,Никогда,Никогда,Никогда,Редко,Иногда,Никогда,Никогда,Редко,Иногда,Очень часто,Никогда,Редко,Очень часто,Редко,5,2,3,4,Улучшение,94.0
176,22,Spotify,6.0,Да,Нет,Нет,Jazz,Да,Да,Иногда,Редко,Очень часто,Редко,Редко,Редко,Очень часто,Иногда,Никогда,Иногда,Иногда,Иногда,Иногда,Редко,Очень часто,Иногда,8,8,7,1,Улучшение,140.0
177,23,Spotify,2.0,Нет,Да,Нет,Jazz,Нет,Да,Редко,Редко,Редко,Редко,Редко,Редко,Редко,Редко,Редко,Редко,Редко,Редко,Редко,Редко,Редко,Редко,10,3,0,10,Нет эффекта,126.0
178,23,Spotify,1.0,Да,Да,Нет,Jazz,Да,Нет,Редко,Редко,Очень часто,Никогда,Редко,Никогда,Очень часто,Редко,Редко,Никогда,Иногда,Редко,Иногда,Никогда,Очень часто,Иногда,9,7,2,1,Улучшение,150.0
179,32,Spotify,12.0,Да,Да,Да,Jazz,Да,Да,Никогда,Никогда,Иногда,Редко,Никогда,Иногда,Очень часто,Редко,Никогда,Иногда,Никогда,Редко,Иногда,Редко,Никогда,Никогда,9,4,4,4,Улучшение,200.0
180,20,Spotify,8.0,Да,Нет,Нет,Jazz,Да,Да,Редко,Иногда,Редко,Очень часто,Никогда,Иногда,Очень часто,Редко,Иногда,Очень часто,Никогда,Иногда,Редко,Иногда,Иногда,Редко,7,6,7,4,Улучшение,93.0
181,56,Другое,2.0,Нет,Нет,Нет,Jazz,Да,Да,Иногда,Никогда,Иногда,Иногда,Редко,Никогда,Очень часто,Никогда,Редко,Редко,Редко,Иногда,Редко,Никогда,Иногда,Редко,0,0,0,5,Нет эффекта,120.0
182,24,Spotify,8.0,Да,Нет,Нет,Jazz,Да,Нет,Очень часто,Никогда,Редко,Никогда,Никогда,Очень часто,Очень часто,Никогда,Редко,Очень часто,Никогда,Редко,Иногда,Иногда,Очень часто,Редко,2,2,4,0,Нет эффекта,81.0
183,24,YouTube Music,1.0,Нет,Нет,Нет,Jazz,Да,Да,Редко,Никогда,Иногда,Редко,Никогда,Никогда,Иногда,Редко,Никогда,Редко,Редко,Иногда,Редко,Никогда,Иногда,Очень часто,3,2,1,0,Нет эффекта,122.0
184,26,Spotify,3.0,Да,Да,Да,Jazz,Да,Да,Редко,Редко,Редко,Редко,Никогда,Иногда,Очень часто,Никогда,Иногда,Редко,Очень часто,Редко,Иногда,Редко,Очень часто,Редко,6,8,0,0,Улучшение,90.0
185,27,Spotify,10.0,Да,Да,Да,Jazz,Да,Да,Очень часто,Никогда,Никогда,Очень часто,Редко,Редко,Очень часто,Редко,Редко,Иногда,Иногда,Иногда,Иногда,Редко,Иногда,Иногда,6,10,8,1,Улучшение,132.0
186,21,Spotify,1.0,Да,Нет,Нет,K pop,Да,Да,Никогда,Никогда,Редко,Никогда,Никогда,Очень часто,Редко,Очень часто,Никогда,Иногда,Никогда,Иногда,Иногда,Редко,Никогда,Редко,5,3,5,3,Улучшение,95.0
187,16,Spotify,6.0,Да,Нет,Нет,K pop,Да,Да,Редко,Никогда,Никогда,Редко,Иногда,Очень часто,Редко,Очень часто,Очень часто,Очень часто,Никогда,Иногда,Очень часто,Очень часто,Редко,Никогда,7,8,7,5,Улучшение,169.0
188,19,YouTube Music,1.0,Нет,Да,Нет,K pop,Да,Да,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,Иногда,Очень часто,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,Редко,10,1,0,0,Улучшение,160.0
189,22,Spotify,2.0,Да,Нет,Нет,K pop,Да,Да,Никогда,Никогда,Очень часто,Никогда,Никогда,Иногда,Никогда,Очень часто,Никогда,Никогда,Никогда,Иногда,Никогда,Иногда,Очень часто,Редко,7,8,5,1,Нет эффекта,126.0
190,19,Spotify,8.0,Да,Нет,Нет,K pop,Да,Да,Очень часто,Никогда,Редко,Никогда,Никогда,Иногда,Иногда,Очень часто,Никогда,Очень часто,Никогда,Очень часто,Иногда,Редко,Редко,Редко,4,3,0,0,Улучшение,100.0
191,18,Spotify,2.0,Да,Да,Нет,K pop,Да,Да,Очень часто,Никогда,Никогда,Редко,Редко,Иногда,Иногда,Очень часто,Редко,Очень часто,Никогда,Иногда,Очень часто,Иногда,Никогда,Редко,7,2,3,5,Улучшение,98.0
192,18,Spotify,2.0,Да,Нет,Нет,K pop,Да,Да,Редко,Никогда,Иногда,Никогда,Никогда,Никогда,Никогда,Очень часто,Никогда,Никогда,Редко,Иногда,Никогда,Никогда,Редко,Никогда,6,0,0,0,Улучшение,130.0
193,16,Apple Music,4.0,Да,Да,Нет,K pop,Да,Да,Очень часто,Редко,Редко,Иногда,Редко,Очень часто,Иногда,Очень часто,Иногда,Очень часто,Очень часто,Очень часто,Иногда,Редко,Иногда,Редко,8,9,4,0,Улучшение,140.0
194,19,Spotify,3.0,Да,Нет,Нет,K pop,Да,Да,Иногда,Редко,Редко,Иногда,Никогда,Редко,Никогда,Очень часто,Никогда,Иногда,Никогда,Очень часто,Очень часто,Очень часто,Очень часто,Никогда,6,0,3,0,Улучшение,110.0
195,19,Spotify,5.0,Да,Нет,Нет,K pop,Да,Да,Редко,Иногда,Иногда,Никогда,Никогда,Редко,Редко,Очень часто,Редко,Никогда,Никогда,Очень часто,Очень часто,Редко,Редко,Редко,4,2,2,1,Улучшение,158.0
196,18,Spotify,5.0,Да,Нет,Нет,K pop,Да,Да,Никогда,Редко,Редко,Никогда,Никогда,Редко,Редко,Очень часто,Редко,Редко,Никогда,Очень часто,Редко,Иногда,Иногда,Никогда,7,4,5,6,Улучшение,124.0
197,15,Spotify,6.0,Да,Да,Нет,K pop,Да,Да,Иногда,Никогда,Редко,Иногда,Никогда,Редко,Иногда,Очень часто,Иногда,Иногда,Редко,Очень часто,Иногда,Редко,Очень часто,Никогда,8,8,7,10,Нет эффекта,110.0
198,14,Spotify,2.0,Да,Да,Нет,K pop,Да,Да,Иногда,Никогда,Редко,Никогда,Никогда,Иногда,Иногда,Очень часто,Никогда,Иногда,Никогда,Редко,Редко,Редко,Никогда,Редко,4,4,2,2,Улучшение,114.0
199,15,Spotify,3.0,Да,Нет,Нет,K pop,Да,Да,Редко,Никогда,Редко,Никогда,Никогда,Очень часто,Иногда,Очень часто,Никогда,Никогда,Никогда,Редко,Иногда,Очень часто,Иногда,Очень часто,4,0,0,0,Нет эффекта,204.0
200,19,Spotify,2.0,Да,Нет,Нет,K pop,Да,Да,Редко,Никогда,Редко,Никогда,Никогда,Иногда,Иногда,Очень часто,Никогда,Иногда,Никогда,Иногда,Очень часто,Редко,Иногда,Иногда,7,6,5,1,Улучшение,80.0
201,18,Spotify,3.0,Да,Нет,Нет,K pop,Да,Да,Иногда,Никогда,Никогда,Никогда,Никогда,Иногда,Никогда,Очень часто,Никогда,Редко,Никогда,Иногда,Очень часто,Редко,Иногда,Редко,8,4,7,5,Улучшение,130.0
202,16,Spotify,3.0,Да,Да,Нет,K pop,Нет,Да,Редко,Никогда,Иногда,Никогда,Никогда,Редко,Иногда,Очень часто,Иногда,Иногда,Никогда,Очень часто,Редко,Иногда,Никогда,Никогда,10,2,7,8,Улучшение,174.0
203,16,Spotify,3.0,Да,Да,Нет,K pop,Да,Да,Редко,Никогда,Редко,Никогда,Никогда,Очень часто,Очень часто,Очень часто,Никогда,Иногда,Никогда,Очень часто,Очень часто,Очень часто,Очень часто,Иногда,2,7,0,0,Улучшение,115.0
204,17,Spotify,10.0,Да,Нет,Да,K pop,Да,Да,Редко,Иногда,Редко,Редко,Никогда,Очень часто,Никогда,Очень часто,Редко,Иногда,Очень часто,Очень часто,Иногда,Очень часто,Очень часто,Иногда,10,3,0,4,Улучшение,150.0
205,20,Spotify,1.0,Да,Нет,Нет,K pop,Да,Да,Иногда,Никогда,Редко,Никогда,Иногда,Никогда,Редко,Очень часто,Никогда,Иногда,Никогда,Очень часто,Иногда,Никогда,Редко,Никогда,8,7,1,1,Нет эффекта,120.0
206,18,Spotify,1.0,Нет,Нет,Нет,K pop,Нет,Да,Никогда,Никогда,Редко,Никогда,Никогда,Очень часто,Никогда,Очень часто,Никогда,Иногда,Никогда,Иногда,Иногда,Редко,Редко,Никогда,5,1,4,0,Улучшение,100.0
207,17,Spotify,12.0,Да,Да,Нет,Latin,Да,Нет,Очень часто,Никогда,Редко,Редко,Иногда,Очень часто,Никогда,Редко,Очень часто,Редко,Иногда,Редко,Никогда,Очень часто,Очень часто,Иногда,0,3,9,5,Нет эффекта,172.0
208,18,Apple Music,5.0,Да,Да,Нет,Latin,Да,Да,Очень часто,Иногда,Редко,Никогда,Никогда,Иногда,Редко,Иногда,Очень часто,Иногда,Никогда,Очень часто,Иногда,Редко,Иногда,Никогда,10,6,0,0,Улучшение,73.0
209,17,Spotify,4.0,Да,Нет,Нет,Lofi,Да,Да,Очень часто,Никогда,Никогда,Никогда,Иногда,Иногда,Редко,Иногда,Никогда,Очень часто,Никогда,Очень часто,Иногда,Иногда,Редко,Очень часто,3,8,0,0,Улучшение,79.0
210,16,Spotify,4.0,Да,Нет,Да,Lofi,Да,Нет,Редко,Редко,Очень часто,Редко,Никогда,Редко,Редко,Никогда,Никогда,Очень часто,Редко,Иногда,Никогда,Редко,Редко,Очень часто,7,1,3,5,Улучшение,85.0
211,23,Spotify,5.0,Да,Нет,Нет,Lofi,Да,Да,Очень часто,Редко,Иногда,Иногда,Редко,Редко,Иногда,Редко,Редко,Очень часто,Редко,Очень часто,Очень часто,Редко,Очень часто,Очень часто,7,10,10,1,Улучшение,120.0
212,25,Spotify,2.0,Да,Нет,Нет,Lofi,Да,Да,Иногда,Редко,Иногда,Редко,Никогда,Очень часто,Очень часто,Редко,Иногда,Очень часто,Никогда,Иногда,Редко,Иногда,Очень часто,Иногда,7,8,6,2,Улучшение,91.0
213,33,Apple Music,4.0,Да,Да,Да,Lofi,Да,Да,Иногда,Редко,Редко,Иногда,Никогда,Иногда,Иногда,Редко,Редко,Очень часто,Очень часто,Иногда,Редко,Иногда,Иногда,Иногда,8,8,2,2,Улучшение,114.0
214,22,Spotify,3.0,Да,Нет,Нет,Lofi,Да,Да,Редко,Очень часто,Иногда,Редко,Редко,Редко,Редко,Редко,Редко,Очень часто,Редко,Редко,Редко,Редко,Редко,Редко,7,6,7,9,Улучшение,174.0
215,28,Другое,1.0,Да,Нет,Нет,Lofi,Да,Да,Иногда,Редко,Редко,Редко,Редко,Иногда,Иногда,Редко,Иногда,Очень часто,Редко,Иногда,Иногда,Редко,Иногда,Иногда,4,8,5,0,Улучшение,82.0
216,22,Spotify,4.0,Да,Да,Нет,Lofi,Да,Нет,Редко,Редко,Никогда,Иногда,Никогда,Редко,Иногда,Никогда,Никогда,Очень часто,Редко,Иногда,Редко,Редко,Очень часто,Никогда,9,10,6,7,Улучшение,141.0
217,14,Spotify,7.0,Да,Нет,Нет,Lofi,Да,Да,Никогда,Никогда,Никогда,Никогда,Никогда,Иногда,Никогда,Никогда,Никогда,Очень часто,Никогда,Очень часто,Никогда,Иногда,Никогда,Редко,3,2,8,0,Улучшение,95.0
218,21,Spotify,8.0,Да,Нет,Нет,Lofi,Да,Да,Очень часто,Очень часто,Очень часто,Очень часто,Очень часто,Очень часто,Очень часто,Очень часто,Очень часто,Очень часто,Очень часто,Очень часто,Очень часто,Очень часто,Очень часто,Очень часто,6,5,9,8,Улучшение,162.0
219,19,Spotify,6.0,Да,Да,Нет,Metal,Да,Да,Никогда,Никогда,Никогда,Редко,Никогда,Редко,Иногда,Редко,Никогда,Иногда,Очень часто,Иногда,Никогда,Никогда,Иногда,Иногда,9,8,2,3,Улучшение,141.0
220,18,Spotify,4.0,Да,Нет,Нет,Metal,Да,Да,Редко,Никогда,Никогда,Никогда,Никогда,Очень часто,Редко,Никогда,Никогда,Никогда,Очень часто,Иногда,Иногда,Очень часто,Очень часто,Очень часто,1,0,8,2,Нет эффекта,77.0
221,18,Spotify,5.0,Да,Нет,Да,Metal,Да,Да,Никогда,Никогда,Редко,Редко,Никогда,Очень часто,Редко,Никогда,Редко,Редко,Очень часто,Иногда,Редко,Очень часто,Очень часто,Никогда,7,9,5,0,Улучшение,157.0
222,25,Spotify,2.0,Нет,Нет,Нет,Metal,Нет,Да,Редко,Редко,Редко,Иногда,Никогда,Редко,Никогда,Редко,Никогда,Редко,Очень часто,Иногда,Никогда,Редко,Очень часто,Очень часто,5,5,3,1,Нет эффекта,170.0
223,36,Spotify,6.0,Да,Нет,Нет,Metal,Да,Да,Очень часто,Никогда,Редко,Очень часто,Никогда,Никогда,Никогда,Иногда,Никогда,Редко,Очень часто,Редко,Никогда,Никогда,Иногда,Очень часто,5,4,10,2,Улучшение,174.0
224,41,Apple Music,3.0,Да,Да,Да,Metal,Да,Да,Иногда,Никогда,Иногда,Никогда,Никогда,Редко,Редко,Никогда,Никогда,Иногда,Иногда,Иногда,Никогда,Редко,Редко,Никогда,10,7,8,0,Улучшение,130.0
225,17,Spotify,5.0,Да,Нет,Нет,Metal,Да,Да,Никогда,Иногда,Редко,Редко,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,Очень часто,Редко,Никогда,Никогда,Очень часто,Иногда,4,1,0,0,Улучшение,95.0
226,33,Не пользуюсь,1.0,Нет,Нет,Нет,Metal,Нет,Да,Редко,Иногда,Иногда,Никогда,Никогда,Иногда,Никогда,Никогда,Редко,Никогда,Очень часто,Иногда,Редко,Иногда,Иногда,Иногда,5,2,5,1,Улучшение,141.0
227,30,Spotify,5.0,Да,Да,Нет,Metal,Да,Нет,Иногда,Редко,Никогда,Иногда,Никогда,Редко,Никогда,Никогда,Никогда,Никогда,Очень часто,Иногда,Никогда,Никогда,Очень часто,Никогда,7,6,6,2,Нет эффекта,160.0
228,22,Spotify,10.0,Да,Нет,Нет,Metal,Да,Да,Редко,Очень часто,Никогда,Очень часто,Никогда,Никогда,Редко,Никогда,Никогда,Никогда,Очень часто,Редко,Никогда,Редко,Иногда,Иногда,9,6,0,6,Улучшение,189.0
229,19,Spotify,4.0,Да,Нет,Нет,Metal,Да,Да,Иногда,Никогда,Никогда,Никогда,Никогда,Иногда,Иногда,Редко,Никогда,Никогда,Иногда,Иногда,Редко,Иногда,Очень часто,Редко,4,1,1,1,Улучшение,105.0
230,18,Spotify,2.0,Нет,Да,Да,Metal,Да,Да,Никогда,Никогда,Редко,Никогда,Никогда,Иногда,Никогда,Никогда,Никогда,Никогда,Очень часто,Иногда,Никогда,Редко,Очень часто,Редко,3,4,6,1,Улучшение,149.0
231,17,Apple Music,5.0,Да,Нет,Нет,Metal,Да,Нет,Никогда,Редко,Никогда,Никогда,Никогда,Иногда,Никогда,Никогда,Никогда,Редко,Очень часто,Иногда,Иногда,Иногда,Очень часто,Редко,10,8,6,7,Нет эффекта,134.0
232,21,YouTube Music,2.0,Да,Да,Нет,Metal,Да,Да,Иногда,Редко,Никогда,Очень часто,Никогда,Никогда,Редко,Никогда,Никогда,Редко,Очень часто,Редко,Никогда,Редко,Иногда,Очень часто,8,4,10,0,Нет эффекта,107.0
233,34,Другое,4.0,Да,Нет,Нет,Metal,Да,Да,Редко,Никогда,Иногда,Никогда,Никогда,Иногда,Редко,Никогда,Никогда,Никогда,Очень часто,Редко,Никогда,Иногда,Иногда,Редко,6,7,0,0,Нет эффекта,161.0
234,21,YouTube Music,3.0,Да,Нет,Да,Metal,Да,Нет,Иногда,Редко,Никогда,Иногда,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,Очень часто,Очень часто,Никогда,Никогда,Очень часто,Редко,10,0,10,10,Улучшение,141.0
235,23,Spotify,2.0,Да,Нет,Нет,Metal,Да,Да,Редко,Никогда,Никогда,Редко,Никогда,Никогда,Никогда,Никогда,Никогда,Иногда,Очень часто,Редко,Никогда,Никогда,Иногда,Редко,6,3,0,1,Улучшение,100.0
236,23,Spotify,2.0,Нет,Да,Нет,Metal,Нет,Да,Никогда,Никогда,Редко,Никогда,Никогда,Редко,Редко,Никогда,Никогда,Никогда,Очень часто,Никогда,Никогда,Редко,Иногда,Никогда,7,3,2,3,Улучшение,117.0
237,24,Spotify,1.0,Нет,Нет,Нет,Metal,Да,Нет,Иногда,Никогда,Редко,Редко,Никогда,Редко,Никогда,Никогда,Никогда,Никогда,Очень часто,Иногда,Иногда,Иногда,Очень часто,Редко,6,4,5,0,Улучшение,86.0
238,27,Spotify,10.0,Да,Нет,Нет,Metal,Да,Да,Иногда,Никогда,Иногда,Никогда,Никогда,Иногда,Редко,Никогда,Никогда,Редко,Очень часто,Очень часто,Редко,Иногда,Очень часто,Редко,5,6,6,3,Улучшение,185.0
239,34,Spotify,2.0,Нет,Нет,Нет,Metal,Нет,Нет,Никогда,Никогда,Редко,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,Никогда,Очень часто,Редко,Никогда,Никогда,Иногда,Никогда,3,7,0,0,Улучшение,120.0
240,21,Spotify,2.0,Да,Да,Нет,Metal,Да,Да,Редко,Никогда,Никогда,Иногда,Никогда,Редко,Никогда,Никогда,Никогда,Редко,Очень часто,Редко,Никогда,Редко,Очень часто,Иногда,1,3,0,6,Нет эффекта,141.0
241,18,Spotify,1.0,Да,Да,Нет,Metal,Да,Да,Редко,Никогда,Редко,Никогда,Никогда,Иногда,Никогда,Никогда,Никогда,Никогда,Очень часто,Редко,Никогда,Иногда,Очень часто,Иногда,6,9,9,0,Улучшение,190.0
242,21,Spotify,3.0,Да,Да,Да,Metal,Да,Нет,Иногда,Редко,Редко,Иногда,Никогда,Редко,Редко,Редко,Никогда,Иногда,Очень часто,Очень часто,Редко,Иногда,Очень часто,Иногда,3,3,7,0,Нет эффекта,150.0
243,27,Spotify,10.0,Да,Нет,Нет,Metal,Да,Да,Никогда,Редко,Иногда,Иногда,Никогда,Иногда,Редко,Редко,Редко,Иногда,Очень часто,Очень часто,Иногда,Иногда,Очень часто,Иногда,8,8,3,0,Улучшение,194.0
244,19,Spotify,1.0,Нет,Нет,Да,Metal,Да,Да,Никогда,Никогда,Никогда,Никогда,Никогда,Редко,Никогда,Никогда,Никогда,Иногда,Очень часто,Иногда,Редко,Редко,Очень часто,Никогда,6,4,0,3,Нет эффекта,160.0
245,27,Spotify,3.0,Да,Нет,Нет,Metal,Да,Да,Иногда,Никогда,Никогда,Редко,Никогда,Иногда,Редко,Никогда,Никогда,Редко,Очень часто,Никогда,Редко,Иногда,Иногда,Редко,1,0,0,0,Улучшение,171.0
246,19,YouTube Music,5.0,Да,Нет,Нет,Metal,Нет,Да,Иногда,Редко,Редко,Иногда,Иногда,Иногда,Редко,Никогда,Никогда,Очень часто,Очень часто,Никогда,Никогда,Иногда,Очень часто,Иногда,0,5,1,0,Нет эффекта,136.0
247,28,Spotify,2.0,Нет,Нет,Да,Metal,Нет,Нет,Редко,Никогда,Никогда,Редко,Никогда,Редко,Никогда,Никогда,Никогда,Никогда,Очень часто,Редко,Никогда,Никогда,Иногда,Редко,1,7,5,1,Улучшение,146.0
248,26,Spotify,5.0,Да,Да,Да,Metal,Да,Да,Иногда,Редко,Очень часто,Редко,Редко,Редко,Иногда,Иногда,Никогда,Редко,Очень часто,Иногда,Иногда,Редко,Иногда,Иногда,10,9,8,8,Улучшение,109.0
249,42,YouTube Music,2.0,Нет,Нет,Нет,Metal,Да,Нет,Иногда,Редко,Иногда,Редко,Никогда,Иногда,Никогда,Никогда,Никогда,Никогда,Очень часто,Иногда,Иногда,Иногда,Очень часто,Редко,8,3,6,4,Улучшение,141.0
